,ECG
0,1.1080503477817227
1,0.8012327104783428
2,0.20321870730649783
3,-0.2462816792558433
4,-0.3958871759213527
5,-0.3226724977013098
6,-0.19820369400425403
7,-0.1235441436981225
8,-0.09718380921729038
9,-0.08506296687631076
10,-0.07393081619933468
11,-0.05858730707109289
12,-0.03879668531887299
13,-0.013380713475858962
14,0.0182300744657846
15,0.05605795214120175
16,0.09958612904290495
17,0.1482785137934295
18,0.19940291532769974
19,0.2494233127010758
20,0.29511674290557255
21,0.333571129595752
22,0.3621581226959175
23,0.37854060650905463
24,0.38068048284533673
25,0.3667222090746934
26,0.33889680335009387
27,0.30073367535195045
28,0.2554997171493455
29,0.2061993032000331
30,0.15557429035043624
31,0.1061045722209815
32,0.06002394182192006
33,0.019322430561687413
34,-0.014330970211116286
35,-0.04074134446443609
36,-0.060883409741417906
37,-0.07570939106094544
38,-0.08611068883311196
39,-0.09291787885922165
40,-0.09690071233178874
41,-0.09876808890644463
42,-0.09916525565466015
43,-0.09867088125374707
44,-0.09767411962264273
45,-0.09625638443475376
46,-0.09461270733550041
47,-0.09287105732983245
48,-0.09108401983633788
49,-0.08922879668724204
50,-0.08720720612840843
51,-0.08484568593666111
52,-0.08190252935959318
53,-0.07809457429837387
54,-0.07320299168306826
55,-0.06514030424416954
56,-0.05155419718237815
57,-0.030615106173619382
58,-0.001016217369043712
59,0.03802653260497456
60,0.08709989648343244
61,0.14132270783788237
62,0.1903476643162542
63,0.22615092349389196
64,0.24329145883415523
65,0.23890558916941057
66,0.21271463682938666
67,0.16933736161060087
68,0.11902967525040806
69,0.0702455416441735
70,0.028658768465385065
71,-0.002836992834346231
72,-0.023951902721391208
73,-0.03846652811550215
74,-0.06073453519873594
75,-0.10757361292863418
76,-0.18598021068394308
77,-0.213017069435607
78,-0.062484774364656256
79,0.36193926879920174
80,0.9069612643178393
81,1.1681494081974484
82,0.842132727761847
83,0.2530428503011888
84,-0.18900519533490484
85,-0.3270563918362076
86,-0.24881911803022477
87,-0.12657812653263362
88,-0.0534604287694413
89,-0.02773853339183726
90,-0.015048943701382338
91,-0.00285528904545342
92,0.0134729342015614
93,0.03460201477710624
94,0.061486396138346604
95,0.09462931889824099
96,0.1339672963539525
97,0.178881663754673
98,0.22852720702619048
99,0.2801141413280548
100,0.33025434106553825
101,0.3757518522504213
102,0.4136029624846487
103,0.4410211644848258
104,0.45547408489457253
105,0.45425156634898045
106,0.43708016964669605
107,0.40714212560478114
108,0.36757749549022994
109,0.3213863625902365
110,0.27142883221219555
111,0.22042503168370095
112,0.1709551103525473
113,0.125437301301707
114,0.08605656459368538
115,0.054469432803180506
116,0.030183655812721928
117,0.012170645814305756
118,-0.0005459841348865336
119,-0.008902851856246567
120,-0.013796806049739423
121,-0.016084926293903415
122,-0.016584523045849675
123,-0.016062602685068997
124,-0.015145378616926207
125,-0.014044707528864738
126,-0.012870214967290367
127,-0.011725239666815681
128,-0.01066421942334463
129,-0.009692644340774801
130,-0.008767056830997912
131,-0.0077950516138996515
132,-0.00663527571735971
133,-0.005123519820921145
134,-0.002736659968387999
135,0.001612878346929015
136,0.009340822505911265
137,0.0221861797081368
138,0.042211236971881005
139,0.07187702147715341
140,0.11317416078262865
141,0.16193947816613363
142,0.21232285170774634
143,0.2580515445442856
144,0.29240512955734627
145,0.3082101844229045
146,0.29873014375445467
147,0.26735834196285235
148,0.2232566785252098
149,0.1742880750266078
150,0.12690955573281065
151,0.08617224759026529
152,0.05563481077024079
153,0.034919069837785886
154,0.01897592332005405
155,-0.006052457635016793
156,-0.06277295025790701
157,-0.13986926377497674
158,-0.146710547378285
159,0.05174772898064537
160,0.523546285116282
161,1.0587561692237273
162,1.199999156859513
163,0.7769909567885611
164,0.1826776208006464
165,-0.19339712986816682
166,-0.2645304132073744
167,-0.15978354682611878
168,-0.04711884544162696
169,0.008582996682574907
170,0.029280436195737565
171,0.03924702989790135
172,0.05141067567578409
173,0.06851364046121299
174,0.09010395320650941
175,0.1174863317392167
176,0.1510298952449091
177,0.19057153198642976
178,0.23592889603104508
179,0.28513908493411017
180,0.334812956738464
181,0.3817530816725834
182,0.4229564899649671
183,0.4556146718441355
184,0.47711499719857414
185,0.48505427021564845
186,0.476924813209
187,0.453075279258118
188,0.41717598397735633
