,ECG
0,1.110583839637139
1,0.8211122612720633
2,0.2507493982644524
3,-0.19170367191627055
4,-0.3538942252476057
5,-0.2952272114629271
6,-0.17502237357559047
7,-0.09466382903432294
8,-0.0653656587971964
9,-0.052685843792237334
10,-0.04297342741873173
11,-0.03021204469594207
12,-0.013818599882902762
13,0.007215619896875598
14,0.033677910087440935
15,0.06590543930294075
16,0.10380539050767715
17,0.14725792108149763
18,0.1951074837957965
19,0.24410275479870308
20,0.29118780856746534
21,0.3335768297612514
22,0.3687198014042194
23,0.39431494407915485
24,0.4083332089826155
25,0.4090185513417894
26,0.394738277605377
27,0.3671067248090795
28,0.3296565173989016
29,0.2856060136819468
30,0.23785338876604376
31,0.18897761866152804
32,0.14126663836480582
33,0.09672149388432286
34,0.05702486715728933
35,0.023539256921641313
36,-0.003005383390163815
37,-0.023298969813355136
38,-0.03828623079158441
39,-0.04883380689651823
40,-0.05573027990930361
41,-0.05968635068237402
42,-0.061353264567058516
43,-0.061339540743115484
44,-0.06018031636979706
45,-0.058332718256691056
46,-0.056074752005441396
47,-0.053525632710718474
48,-0.05081908850864293
49,-0.04805932144243394
50,-0.04532100746240905
51,-0.04264929466901161
52,-0.040055725021898074
53,-0.03750951912309915
54,-0.03494786985435948
55,-0.03227844400452209
56,-0.02954239138708936
57,-0.02625456904740956
58,-0.02090061972355102
59,-0.011959128592862182
60,0.0020681539033544955
61,0.02265631205984265
62,0.05126328081529957
63,0.08944359123214823
64,0.1369029390987691
65,0.18610037338504928
66,0.22944063996546427
67,0.26066865170446685
68,0.27486948845648834
69,0.2684683970659377
70,0.2403318944597051
71,0.19782193658635686
72,0.1500574890710883
73,0.10401460766628191
74,0.0645431864543189
75,0.03440023743836498
76,0.016666852403085377
77,0.011310426725049914
78,-0.0088534545238342
79,-0.05590960805498429
80,-0.12162754675612596
81,-0.17744097875319423
82,-0.13355438842051626
83,0.15168789937099683
84,0.6529667763246365
85,1.112187909713106
86,1.1001419416769909
87,0.6168214228076166
88,0.06679116222708094
89,-0.24397114411627455
90,-0.2784263662049578
91,-0.17537236892294453
92,-0.07093342952637563
93,-0.01709206289790137
94,0.004496000947115638
95,0.014337334316667805
96,0.024269665907781172
97,0.03973454075677618
98,0.05997655820755721
99,0.08457145989526603
100,0.11477691042565305
